ioc,ioc_type,malware,first_seen
83.168.110.191:80,ip:port,Mirai,2026-06-14 12:12:38
84.32.71.134:1111,ip:port,Mirai,2026-06-14 12:12:38
85.11.167.101:25565,ip:port,Mirai,2026-06-14 12:12:37
85.204.125.76:80,ip:port,Mirai,2026-06-14 12:12:37
85.239.151.41:80,ip:port,Mirai,2026-06-14 12:12:37
87.121.84.18:80,ip:port,Mirai,2026-06-14 12:12:36
87.121.84.27:80,ip:port,Mirai,2026-06-14 12:12:36
87.121.84.243:80,ip:port,Mirai,2026-06-14 12:12:35
92.38.186.110:5144,ip:port,Mirai,2026-06-14 12:12:34
92.112.124.25:25565,ip:port,Mirai,2026-06-14 12:12:34
92.112.126.188:80,ip:port,Mirai,2026-06-14 12:12:33
92.112.126.188:443,ip:port,Mirai,2026-06-14 12:12:33
92.112.126.188:2222,ip:port,Mirai,2026-06-14 12:12:33
92.112.126.188:25565,ip:port,Mirai,2026-06-14 12:12:32
92.112.127.184:1337,ip:port,Mirai,2026-06-14 12:12:32
92.112.127.184:5144,ip:port,Mirai,2026-06-14 12:12:32
93.95.115.175:1111,ip:port,Mirai,2026-06-14 12:12:31
94.156.152.234:80,ip:port,Mirai,2026-06-14 12:12:31
94.249.228.214:1337,ip:port,Mirai,2026-06-14 12:12:30
103.83.87.122:80,ip:port,Mirai,2026-06-14 12:12:30
103.214.71.127:25565,ip:port,Mirai,2026-06-14 12:12:30
109.71.252.183:1337,ip:port,Mirai,2026-06-14 12:12:29
117.55.203.189:80,ip:port,Mirai,2026-06-14 12:12:29
117.55.203.189:1337,ip:port,Mirai,2026-06-14 12:12:29
117.55.203.189:25565,ip:port,Mirai,2026-06-14 12:12:28
117.55.203.189:25568,ip:port,Mirai,2026-06-14 12:12:28
124.198.131.24:13123,ip:port,Mirai,2026-06-14 12:12:28
140.233.190.47:80,ip:port,Mirai,2026-06-14 12:12:27
141.11.103.158:13123,ip:port,Mirai,2026-06-14 12:12:27
141.227.139.189:2222,ip:port,Mirai,2026-06-14 12:12:26
144.31.94.207:5000,ip:port,Mirai,2026-06-14 12:12:26
158.94.208.131:6971,ip:port,Mirai,2026-06-14 12:12:26
158.94.208.131:7778,ip:port,Mirai,2026-06-14 12:12:24
162.141.92.3:81,ip:port,Mirai,2026-06-14 12:12:24
162.141.92.3:1337,ip:port,Mirai,2026-06-14 12:12:24
162.141.92.3:82,ip:port,Mirai,2026-06-14 12:12:23
162.141.92.3:25565,ip:port,Mirai,2026-06-14 12:12:23
162.141.92.173:1337,ip:port,Mirai,2026-06-14 12:12:22
162.141.92.192:1337,ip:port,Mirai,2026-06-14 12:12:22
166.88.225.196:80,ip:port,Mirai,2026-06-14 12:12:21
166.88.225.255:80,ip:port,Mirai,2026-06-14 12:12:21
176.65.139.26:80,ip:port,Mirai,2026-06-14 12:12:21
